Reference, Value, Footprint, Datasheet
"J1","Conn_01x02_Male","","~"
"C1","10uF","","~"
"C2","10uF","","~"
"U1","HT75xx-1-SOT89","Package_TO_SOT_SMD:SOT-89-3","https://www.holtek.com/documents/10179/116711/HT75xx-1v250.pdf"
"J2","USB_B_Micro","","~"
"TP1","TestPoint","","~"
"TP2","TestPoint","","~"
"J3","Conn_01x02_Male","","~"
"U2","TP4056","SOP8-PP_TPW",""
"D1","RED LED","","~"
"D2","GREEN LED","","~"
"R1","1K","","~"
"R2","1K","","~"
"C3","10uF","","~"
"C4","10uF","","~"
"BT1","5V_Battery_Cell","","~"
"Q1","2N7002","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF"
