Designator,Val,Package,Mid X,Mid X,Rotation,Layer
C1,10nF,C_0805_2012Metric,167.0705,-114.746,0,top
C2,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.132,-117.856,0,top
C3,20pF,C_0805_2012Metric,133.129,-101.059,90,top
C4,20pF,C_0805_2012Metric,133.129,-95.029,90,top
C5,100nF,C_0805_2012Metric,159.004,-107.254,-90,top
C6,100nF,C_0805_2012Metric,159.004,-102.682,90,top
C7,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.3025,-138.176,0,top
C8,100nF,C_0805_2012Metric,179.39,-141.732,0,top
C9,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.032,-151.384,-90,top
C10,10uF,C_0805_2012Metric,168.656,-142.174,90,top
C11,10uF,C_0805_2012Metric,168.656,-146.238,90,top
C12,10nF,C_0805_2012Metric,174.752,-79.822,90,top
C13,100n,C_0805_2012Metric,117.922,-118.364,0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.727,-118.872,0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,173.727,-115.316,0,top
D3,RED LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,158.487,-146.812,180,top
D4,GREEN LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,158.487,-150.876,0,top
R1,330R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,172.72,-129.524,90,top
R2,330R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,172.72,-124.444,90,top
R3,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.924,-149.368,-90,top
R4,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,153.94,-152.908,180,top
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,140.716,-147.812,90,top
R6,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.984,-82.296,180,top
R7,500R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.112,-83.804,-90,top
R8,4K7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.272,-113.3,90,top
R9,4K7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.844,-113.3,90,top
R10,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.808,-104.632,90,top
R11,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.872,-104.648,90,top
R12,5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.808,-135.144,-90,top
TH1,Thermistor,RES-TH_L12.5-W5.0-P7.50-D0.7,114.808,-145.288,-90,top
U2,FT232RL,SSOP-28_5.3x10.2mm_P0.65mm,165.1,-131.064,0,top
U3,AT24C256C-SSHL-T,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,131.572,-113.792,-90,top
U4,TP4056,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,146.812,-150.876,-90,top
U5,DW01A-G,SOT-23,130.048,-84.836,180,top
U6,FS8205A_C908265,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,121.535949,-84.769962,180,top
U7,HT75xx-1-SOT89,SOT-89-3,174.244,-143.256,0,top
U8,DHT22,SENSOR-TH_HAIGU_DHT22,109.22,-93.726008,90,top
USB1,MICROXNJ,MICRO-USB-SMD_MICROXNJ,165.608,-152.573163,0,top
Y1,8MHz,Crystal_SMD_HC49-SD_HandSoldering,127.508,-99.4095,-90,top
